geoid,city,Total Population (2020-2024),Commute Transportation by Public Transit (2020-2024),urban_classification,Median Home Rent (2020-2024)
47147,Louisville,1317,0,Rural,1403.0
47160,Louisville,55,0,Rural,950.0
47161,Louisville,3611,0,Suburban,856.0
47162,Louisville,514,0,Rural,960.0
47166,Louisville,1484,0,Rural,1305.0
47177,Louisville,1782,0,Rural,1167.0
78003,SanAntonio,9967,0,Rural,1216.0
78013,SanAntonio,4809,0,Suburban,969.0
78055,SanAntonio,1753,0,Rural,929.0
78113,SanAntonio,3026,0,Suburban,1125.0
78140,SanAntonio,3474,0,Suburban,845.0
78147,SanAntonio,1532,0,Rural,950.0
78152,SanAntonio,4521,0,Suburban,1824.0
78205,SanAntonio,1538,12,Rural,1276.0
78215,SanAntonio,3506,40,Rural,1767.0
78235,SanAntonio,2304,45,Rural,1519.0
78256,SanAntonio,13453,23,Rural,1600.0
78257,SanAntonio,10992,0,Rural,1689.0
78263,SanAntonio,4253,0,Suburban,1370.0
78638,SanAntonio,2135,0,Suburban,1135.0
78655,SanAntonio,3730,0,Suburban,1093.0
78670,SanAntonio,130,0,Rural,1225.0
78850,SanAntonio,779,0,Rural,1175.0
78884,SanAntonio,1171,0,Rural,813.0
94020,SanFrancisco,1694,0,Rural,1715.0
94037,SanFrancisco,2917,0,Suburban,3032.0
94060,SanFrancisco,1465,0,Rural,850.0
94104,SanFrancisco,498,55,Urban,773.0
94511,SanFrancisco,1864,0,Rural,1606.0
94514,SanFrancisco,1953,2,Rural,2652.0
94516,SanFrancisco,214,0,Rural,1292.0
94924,SanFrancisco,1372,39,Rural,1924.0
94937,SanFrancisco,1009,0,Rural,1647.0
94946,SanFrancisco,715,5,Rural,2300.0
94956,SanFrancisco,1080,0,Rural,1990.0
94973,SanFrancisco,1689,0,Rural,2395.0
46030,Indianapolis,3035,0,Suburban,959.0
46035,Indianapolis,1348,0,Rural,821.0
46049,Indianapolis,763,0,Rural,829.0
46050,Indianapolis,1808,0,Rural,952.0
46056,Indianapolis,2076,0,Suburban,1085.0
46063,Indianapolis,229,0,Rural,733.0
46070,Indianapolis,2100,0,Suburban,760.0
46076,Indianapolis,1630,0,Rural,863.0
46102,Indianapolis,390,0,Rural,1042.0
46103,Indianapolis,361,0,Rural,950.0
46111,Indianapolis,448,0,Rural,587.0
46118,Indianapolis,4709,0,Suburban,982.0
46126,Indianapolis,3902,0,Suburban,988.0
46130,Indianapolis,2455,0,Suburban,1065.0
46147,Indianapolis,2518,0,Suburban,929.0
46149,Indianapolis,1952,0,Rural,1237.0
46157,Indianapolis,4558,0,Suburban,821.0
46161,Indianapolis,2347,0,Suburban,974.0
46164,Indianapolis,3840,3,Rural,881.0
46165,Indianapolis,1992,0,Rural,1613.0
46166,Indianapolis,2813,0,Suburban,1102.0
46182,Indianapolis,1803,0,Rural,1600.0
46186,Indianapolis,1816,0,Rural,485.0
46216,Indianapolis,2767,0,Rural,1301.0
46225,Indianapolis,6037,0,Rural,1119.0
46240,Indianapolis,19595,2,Rural,1311.0
46280,Indianapolis,7514,0,Rural,1771.0
47235,Indianapolis,1672,0,Rural,687.0
47272,Indianapolis,1844,0,Rural,919.0
47448,Indianapolis,8117,1,Rural,915.0
47456,Indianapolis,1455,0,Rural,958.0
47468,Indianapolis,1303,0,Rural,1652.0
32009,Jacksonville,4045,0,Suburban,919.0
32033,Jacksonville,4556,0,Rural,1752.0
32034,Jacksonville,41029,0,Rural,1605.0
32079,Jacksonville,419,0,Rural,1837.0
32080,Jacksonville,20894,0,Rural,1788.0
32082,Jacksonville,29289,0,Rural,1925.0
32204,Jacksonville,9151,15,Rural,1167.0
32212,Jacksonville,1939,0,Rural,2205.0
32227,Jacksonville,3207,0,Suburban,1799.0
32250,Jacksonville,29072,12,Rural,1787.0
32256,Jacksonville,58192,50,Rural,1698.0
32266,Jacksonville,7168,0,Rural,1763.0
8019,Philadelphia,907,0,Rural,2031.0
8023,Philadelphia,375,0,Rural,2141.0
8067,Philadelphia,1711,0,Rural,1839.0
8511,Philadelphia,976,0,Rural,1150.0
8562,Philadelphia,4201,0,Suburban,1214.0
8641,Philadelphia,4400,0,Suburban,2541.0
18054,Philadelphia,4932,0,Suburban,1779.0
18915,Philadelphia,1648,22,Rural,1473.0
18917,Philadelphia,2216,0,Suburban,1418.0
18923,Philadelphia,984,0,Rural,2253.0
18942,Philadelphia,2377,13,Rural,1496.0
18955,Philadelphia,1511,0,Rural,1492.0
18970,Philadelphia,553,0,Rural,1418.0
18972,Philadelphia,3104,0,Suburban,1364.0
19009,Philadelphia,1124,33,Rural,1593.0
19358,Philadelphia,191,0,Rural,1125.0
19372,Philadelphia,1854,0,Rural,2039.0
19374,Philadelphia,434,0,Rural,969.0
19453,Philadelphia,1259,0,Rural,2186.0
19492,Philadelphia,811,0,Rural,2520.0
21912,Philadelphia,1536,0,Rural,817.0
21913,Philadelphia,820,0,Rural,1149.0
21914,Philadelphia,810,0,Rural,1522.0
21915,Philadelphia,2471,0,Rural,825.0
21918,Philadelphia,4169,0,Suburban,876.0
21919,Philadelphia,3626,3,Rural,1746.0
21920,Philadelphia,1413,0,Rural,1346.0
